order_id,order_date,completed_date,product_type,ordered_quantity,produced_quantity,defect_count,unit_price,is_injected_anomaly
HIST-0348,2025-12-14,2025-12-17,Product Label,2285,2355,83,813,0
HIST-0349,2025-12-15,2025-12-18,Product Label,1969,2034,82,839,0
HIST-0350,2025-12-16,2025-12-21,Folding Carton,794,854,13,3687,0
HIST-0351,2025-12-17,2025-12-20,Folding Carton,817,838,17,3640,0
HIST-0352,2025-12-18,2025-12-24,Product Label,2455,2553,401,769,1
HIST-0353,2025-12-19,2025-12-22,Product Label,2608,2809,101,932,0
HIST-0354,2025-12-20,2025-12-25,Flexible Pouch,1766,1817,40,1849,0
HIST-0355,2025-12-21,2025-12-25,Product Label,2559,2678,64,973,0
HIST-0356,2025-12-22,2025-12-26,Product Label,2858,2979,135,854,0
HIST-0357,2025-12-23,2025-12-29,Flexible Pouch,2308,2417,106,1232,0
HIST-0358,2025-12-24,2025-12-30,Flexible Pouch,1776,1814,28,1809,0
HIST-0359,2025-12-25,2025-12-30,Flexible Pouch,2079,2218,19,1570,0
HIST-0360,2025-12-26,2026-01-01,Folding Carton,3153,3336,99,5176,1
HIST-0361,2025-12-27,2026-01-01,Folding Carton,704,741,13,6050,0
HIST-0362,2025-12-28,2026-01-01,Product Label,2157,2309,27,1068,0
HIST-0363,2025-12-29,2026-01-05,Corrugated Box,625,642,21,5362,0
HIST-0364,2025-12-30,2026-01-04,Corrugated Box,741,775,13,6643,0
HIST-0365,2025-12-31,2026-01-04,Corrugated Box,607,638,17,6513,0
HIST-0366,2026-01-01,2026-01-03,Product Label,2117,2227,61,985,0
HIST-0367,2026-01-02,2026-01-09,Folding Carton,1035,1080,22,4155,0
HIST-0368,2026-01-03,2026-01-06,Product Label,2722,2834,81,1049,0
HIST-0369,2026-01-04,2026-01-08,Corrugated Box,629,674,6,8225,0
HIST-0370,2026-01-05,2026-01-09,Corrugated Box,610,627,116,6592,1
HIST-0371,2026-01-06,2026-01-11,Product Label,4714,4980,95,955,0
HIST-0372,2026-01-07,2026-01-14,Corrugated Box,419,440,12,5198,0
HIST-0373,2026-01-08,2026-01-13,Product Label,2815,2916,702,874,1
HIST-0374,2026-01-09,2026-01-15,Flexible Pouch,1437,1482,38,1207,0
HIST-0375,2026-01-10,2026-01-12,Corrugated Box,546,560,8,6548,0
HIST-0376,2026-01-11,2026-01-16,Product Label,2308,2424,83,924,0
HIST-0377,2026-01-12,2026-01-18,Corrugated Box,494,529,14,5934,0
HIST-0378,2026-01-13,2026-01-20,Flexible Pouch,2328,2504,89,1828,0
HIST-0379,2026-01-14,2026-01-20,Folding Carton,475,503,2,5580,0
HIST-0380,2026-01-15,2026-01-22,Corrugated Box,516,529,7,6039,0
HIST-0381,2026-01-16,2026-01-22,Corrugated Box,575,596,21,6851,0
HIST-0382,2026-01-17,2026-01-23,Folding Carton,753,787,22,4544,0
HIST-0383,2026-01-18,2026-01-23,Flexible Pouch,2222,2333,60,1813,0
HIST-0384,2026-01-19,2026-01-25,Corrugated Box,815,844,32,6029,0
HIST-0385,2026-01-20,2026-01-25,Corrugated Box,831,855,13,6160,0
HIST-0386,2026-01-21,2026-02-07,Folding Carton,952,1024,24,4723,1
HIST-0387,2026-01-22,2026-01-27,Folding Carton,871,931,13,3996,0
HIST-0388,2026-01-23,2026-01-28,Corrugated Box,506,520,18,6615,0
HIST-0389,2026-01-24,2026-01-30,Flexible Pouch,2090,2222,34,1980,0
HIST-0390,2026-01-25,2026-01-30,Folding Carton,666,699,28,4135,0
HIST-0391,2026-01-26,2026-01-30,Folding Carton,1024,1066,172,6469,1
HIST-0392,2026-01-27,2026-02-01,Folding Carton,606,627,18,4290,0
HIST-0393,2026-01-28,2026-02-03,Flexible Pouch,2203,2334,118,1981,0
HIST-0394,2026-01-29,2026-01-31,Product Label,1883,1936,49,750,0
HIST-0395,2026-01-30,2026-02-06,Folding Carton,1162,1211,17,4884,0
HIST-0396,2026-01-31,2026-02-04,Flexible Pouch,2015,2131,49,1852,0
HIST-0397,2026-02-01,2026-02-07,Flexible Pouch,1675,1768,46,1638,0
HIST-0398,2026-02-02,2026-02-07,Flexible Pouch,2432,2489,75,1712,0
HIST-0399,2026-02-03,2026-02-09,Product Label,3474,3661,170,1047,0
HIST-0400,2026-02-04,2026-02-10,Flexible Pouch,2006,2151,37,1803,0
HIST-0401,2026-02-05,2026-02-08,Product Label,2539,2595,31,913,0
HIST-0402,2026-02-06,2026-02-13,Product Label,3091,3231,92,987,0
HIST-0403,2026-02-07,2026-02-11,Corrugated Box,396,425,5,7925,0
HIST-0404,2026-02-08,2026-02-13,Corrugated Box,539,573,23,5688,0
HIST-0405,2026-02-09,2026-02-12,Product Label,3566,3647,22,974,0
HIST-0406,2026-02-10,2026-02-13,Product Label,2967,3110,75,1075,0
HIST-0407,2026-02-11,2026-02-16,Corrugated Box,674,712,20,5436,0
HIST-0408,2026-02-12,2026-02-17,Flexible Pouch,2220,2288,61,1087,0
HIST-0409,2026-02-13,2026-02-19,Folding Carton,942,1013,3,4926,0
HIST-0410,2026-02-14,2026-02-21,Flexible Pouch,2167,2245,81,1473,0
HIST-0411,2026-02-15,2026-02-20,Flexible Pouch,1489,1571,5,2366,0
HIST-0412,2026-02-16,2026-02-22,Folding Carton,802,851,26,5273,0
HIST-0413,2026-02-17,2026-03-09,Corrugated Box,823,843,26,7374,1
HIST-0414,2026-02-18,2026-02-23,Product Label,2744,2936,164,1075,0
HIST-0415,2026-02-19,2026-02-22,Product Label,2696,2839,427,854,1
HIST-0416,2026-02-20,2026-02-26,Folding Carton,711,732,30,5855,0
HIST-0417,2026-02-21,2026-03-01,Flexible Pouch,2331,2471,63,1884,0
HIST-0418,2026-02-22,2026-03-03,Folding Carton,748,784,17,4783,0
HIST-0419,2026-02-23,2026-02-27,Product Label,3755,3864,12,1071,0
HIST-0420,2026-02-24,2026-03-03,Folding Carton,1065,1101,16,4619,0
HIST-0421,2026-02-25,2026-03-02,Folding Carton,847,914,24,4476,0
HIST-0422,2026-02-26,2026-03-06,Flexible Pouch,2420,2521,57,2053,0
HIST-0423,2026-02-27,2026-03-03,Corrugated Box,527,544,12,7231,0
HIST-0424,2026-02-28,2026-03-05,Product Label,3450,3704,91,998,0
HIST-0425,2026-03-01,2026-03-06,Corrugated Box,408,424,12,4532,0
HIST-0426,2026-03-02,2026-03-06,Product Label,3942,4136,127,750,0
HIST-0427,2026-03-03,2026-03-09,Folding Carton,1066,1147,17,5284,0
HIST-0428,2026-03-04,2026-03-12,Folding Carton,757,805,17,4420,0
HIST-0429,2026-03-05,2026-03-10,Corrugated Box,611,654,16,5871,0
HIST-0430,2026-03-06,2026-03-13,Folding Carton,524,553,10,4138,0
HIST-0431,2026-03-07,2026-03-11,Product Label,3401,3502,11,1068,0
HIST-0432,2026-03-08,2026-03-12,Corrugated Box,587,613,12,5701,0
HIST-0433,2026-03-09,2026-03-13,Corrugated Box,473,501,18,7030,0
HIST-0434,2026-03-10,2026-03-16,Flexible Pouch,1654,1774,37,1306,0
HIST-0435,2026-03-11,2026-03-19,Folding Carton,704,749,3,3869,0
HIST-0436,2026-03-12,2026-03-17,Folding Carton,1044,1119,36,3979,0
HIST-0437,2026-03-13,2026-03-21,Folding Carton,465,478,9,4303,0
HIST-0438,2026-03-14,2026-03-20,Flexible Pouch,2843,2918,137,1627,0
HIST-0439,2026-03-15,2026-03-20,Corrugated Box,673,719,16,5584,0
HIST-0440,2026-03-16,2026-03-20,Product Label,1994,2144,79,753,0
HIST-0441,2026-03-17,2026-03-21,Corrugated Box,558,597,20,7014,0
HIST-0442,2026-03-18,2026-03-23,Product Label,2774,2876,100,831,0
HIST-0443,2026-03-19,2026-03-24,Flexible Pouch,1839,1947,39,1962,0
HIST-0444,2026-03-20,2026-03-24,Folding Carton,691,740,7,3210,0
HIST-0445,2026-03-21,2026-03-26,Flexible Pouch,1938,1996,31,1443,0
HIST-0446,2026-03-22,2026-03-27,Flexible Pouch,2265,2434,48,1805,0
HIST-0447,2026-03-23,2026-03-27,Product Label,3351,3547,11,764,0
HIST-0448,2026-03-24,2026-03-27,Product Label,2832,2953,82,1172,0
HIST-0449,2026-03-25,2026-03-29,Product Label,2940,3059,108,883,0
HIST-0450,2026-03-26,2026-04-02,Folding Carton,841,874,14,4498,0
HIST-0451,2026-03-27,2026-04-04,Corrugated Box,459,494,12,7482,0
HIST-0452,2026-03-28,2026-04-03,Flexible Pouch,2493,2547,95,1966,0
HIST-0453,2026-03-29,2026-04-06,Flexible Pouch,2487,2627,77,2076,0
HIST-0454,2026-03-30,2026-04-05,Flexible Pouch,1759,1796,62,2312,0
HIST-0455,2026-03-31,2026-04-08,Flexible Pouch,1765,1866,59,1803,0
HIST-0456,2026-04-01,2026-04-05,Flexible Pouch,2713,2799,134,1736,0
HIST-0457,2026-04-02,2026-04-07,Product Label,2958,3097,57,844,0
HIST-0458,2026-04-03,2026-04-08,Corrugated Box,579,622,23,6631,0
HIST-0459,2026-04-04,2026-04-11,Flexible Pouch,1351,1411,43,1984,0
HIST-0460,2026-04-05,2026-04-10,Folding Carton,942,996,21,4468,0
HIST-0461,2026-04-06,2026-04-08,Product Label,1959,2094,50,975,0
HIST-0462,2026-04-07,2026-04-09,Product Label,3233,3465,122,843,0
HIST-0463,2026-04-08,2026-04-14,Flexible Pouch,2596,2793,418,1908,1
HIST-0464,2026-04-09,2026-04-13,Folding Carton,836,865,26,4808,0
HIST-0465,2026-04-10,2026-04-14,Product Label,3384,3557,86,1121,0
HIST-0466,2026-04-11,2026-04-18,Corrugated Box,434,461,6,7640,0
HIST-0467,2026-04-12,2026-04-19,Flexible Pouch,1965,2108,78,1902,0
HIST-0468,2026-04-13,2026-04-18,Flexible Pouch,2124,2220,113,1987,0
HIST-0469,2026-04-14,2026-04-17,Product Label,3428,3578,143,659,0
HIST-0470,2026-04-15,2026-04-23,Flexible Pouch,2415,2520,60,1637,0
HIST-0471,2026-04-16,2026-04-19,Product Label,3707,3797,86,765,0
HIST-0472,2026-04-17,2026-04-20,Product Label,1999,2096,43,1024,0
HIST-0473,2026-04-18,2026-04-23,Product Label,2593,2761,43,899,0
HIST-0474,2026-04-19,2026-04-24,Corrugated Box,468,485,9,7884,0
HIST-0475,2026-04-20,2026-04-25,Flexible Pouch,2541,2670,65,2240,0
HIST-0476,2026-04-21,2026-05-11,Corrugated Box,543,555,22,6505,1
HIST-0477,2026-04-22,2026-04-29,Folding Carton,920,983,24,4090,0
HIST-0478,2026-04-23,2026-04-29,Flexible Pouch,1617,1666,74,2234,0
HIST-0479,2026-04-24,2026-04-26,Product Label,4436,4585,185,741,0
HIST-0480,2026-04-25,2026-04-29,Product Label,2988,3140,43,812,0
HIST-0481,2026-04-26,2026-05-02,Folding Carton,619,661,5,4010,0
HIST-0482,2026-04-27,2026-05-03,Folding Carton,821,852,21,4220,0
HIST-0483,2026-04-28,2026-05-04,Corrugated Box,722,759,17,6082,0
HIST-0484,2026-04-29,2026-05-01,Product Label,3939,4059,124,976,0
HIST-0485,2026-04-30,2026-05-03,Corrugated Box,669,702,19,5879,0
HIST-0486,2026-05-01,2026-05-05,Folding Carton,757,776,7,5401,0
HIST-0487,2026-05-02,2026-05-07,Product Label,2781,2924,90,1110,0
HIST-0488,2026-05-03,2026-05-10,Folding Carton,871,892,10,3897,0
HIST-0489,2026-05-04,2026-05-08,Product Label,3127,3220,10,874,0
HIST-0490,2026-05-05,2026-05-12,Folding Carton,780,812,20,4465,0
HIST-0491,2026-05-06,2026-05-10,Product Label,3041,3121,117,917,0
HIST-0492,2026-05-07,2026-05-09,Product Label,3105,3295,89,1093,0
HIST-0493,2026-05-08,2026-05-14,Product Label,2457,2615,26,875,0
HIST-0494,2026-05-09,2026-05-12,Product Label,2219,2310,57,1159,0
HIST-0495,2026-05-10,2026-05-16,Product Label,2859,3018,45,1269,0
HIST-0496,2026-05-11,2026-05-16,Product Label,2501,2579,100,634,0
HIST-0497,2026-05-12,2026-05-18,Folding Carton,770,811,16,5025,0
HIST-0498,2026-05-13,2026-05-17,Corrugated Box,564,585,19,7471,0
HIST-0499,2026-05-14,2026-05-16,Product Label,3523,3692,69,796,0
HIST-0500,2026-05-15,2026-05-17,Product Label,2675,2801,129,796,0
